category,region,japaneseName,koreanName,key,referenceSpeciesId,natDex,types,hp,attack,defense,spAttack,spDefense,speed,bst,abilities,genderRatio,heightM,weightKg,catchRate,expYield,eggCycles,friendship,growthRate,eggGroups,cryId,flags,levelUpLearnset,teachableLearnset,eggMoveLearnset,frontPic,backPic,palette,shinyPalette,iconSprite,evolution
regional_form,Alola,ペルシアン,페르시온,SPECIES_PERSIAN_ALOLA,966,PERSIAN,DARK,65,60,60,75,65,115,440,"FUR_COAT,TECHNICIAN,RATTLED",PERCENT_FEMALE(50),1.1,33,90,154,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,FIELD,PERSIAN,isAlolanForm,sPersianAlolaLevelUpLearnset,sPersianAlolaTeachableLearnset,,gMonFrontPic_PersianAlola,gMonBackPic_PersianAlola,gMonPalette_PersianAlola,gMonShinyPalette_PersianAlola,gMonIcon_PersianAlola,
regional_form,Alola,イシツブテ,꼬마돌,SPECIES_GEODUDE_ALOLA,967,GEODUDE,"ROCK,ELECTRIC",40,80,100,30,30,20,300,"MAGNET_PULL,STURDY,GALVANIZE",PERCENT_FEMALE(50),0.4,20.3,255,60,15,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_SLOW,MINERAL,GEODUDE,isAlolanForm,sGeodudeAlolaLevelUpLearnset,sGeodudeAlolaTeachableLearnset,sGeodudeAlolaEggMoveLearnset,gMonFrontPic_GeodudeAlola,gMonBackPic_GeodudeAlola,gMonPalette_GeodudeAlola,gMonShinyPalette_GeodudeAlola,gMonIcon_GeodudeAlola,"{EVO_LEVEL, 25, SPECIES_GRAVELER_ALOLA}"
regional_form,Alola,ゴローン,데구리,SPECIES_GRAVELER_ALOLA,968,GRAVELER,"ROCK,ELECTRIC",55,95,115,45,45,35,390,"MAGNET_PULL,STURDY,GALVANIZE",PERCENT_FEMALE(50),1,110,120,137,15,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_SLOW,MINERAL,GRAVELER,isAlolanForm,sGravelerAlolaLevelUpLearnset,sGravelerAlolaTeachableLearnset,,gMonFrontPic_GravelerAlola,gMonBackPic_GravelerAlola,gMonPalette_GravelerAlola,gMonShinyPalette_GravelerAlola,gMonIcon_GravelerAlola,"{EVO_TRADE, 0, SPECIES_GOLEM_ALOLA}, {EVO_ITEM, ITEM_LINKING_CORD, SPECIES_GOLEM_ALOLA}"
regional_form,Alola,ゴローニャ,딱구리,SPECIES_GOLEM_ALOLA,969,GOLEM,"ROCK,ELECTRIC",80,120,130,55,65,45,495,"MAGNET_PULL,STURDY,GALVANIZE",PERCENT_FEMALE(50),1.7,316,45,(P_UPDATED_EXP_YIELDS >= GEN_8) ? 248 : 223,15,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_SLOW,MINERAL,GOLEM,isAlolanForm,sGolemAlolaLevelUpLearnset,sGolemAlolaTeachableLearnset,,gMonFrontPic_GolemAlola,gMonBackPic_GolemAlola,gMonPalette_GolemAlola,gMonShinyPalette_GolemAlola,gMonIcon_GolemAlola,
regional_form,Alola,ベトベター,질퍽이,SPECIES_GRIMER_ALOLA,970,GRIMER,"POISON,DARK",80,80,50,40,50,25,325,"POISON_TOUCH,GLUTTONY,POWER_OF_ALCHEMY",PERCENT_FEMALE(50),0.7,42,190,65,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,AMORPHOUS,GRIMER,isAlolanForm,sGrimerAlolaLevelUpLearnset,sGrimerAlolaTeachableLearnset,sGrimerAlolaEggMoveLearnset,gMonFrontPic_GrimerAlola,gMonBackPic_GrimerAlola,gMonPalette_GrimerAlola,gMonShinyPalette_GrimerAlola,gMonIcon_GrimerAlola,"{EVO_LEVEL, 38, SPECIES_MUK_ALOLA}"
regional_form,Alola,ベトベトン,질뻐기,SPECIES_MUK_ALOLA,971,MUK,"POISON,DARK",105,105,75,65,100,50,500,"POISON_TOUCH,GLUTTONY,POWER_OF_ALCHEMY",PERCENT_FEMALE(50),1,52,75,175,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,AMORPHOUS,MUK,isAlolanForm,sMukAlolaLevelUpLearnset,sMukAlolaTeachableLearnset,,gMonFrontPic_MukAlola,gMonBackPic_MukAlola,gMonPalette_MukAlola,gMonShinyPalette_MukAlola,gMonIcon_MukAlola,
regional_form,Alola,ナッシー,나시,SPECIES_EXEGGUTOR_ALOLA,972,EXEGGUTOR,"GRASS,DRAGON",95,105,85,125,75,45,530,"FRISK,NONE,HARVEST",PERCENT_FEMALE(50),10.9,415.6,45,186,20,STANDARD_FRIENDSHIP,GROWTH_SLOW,GRASS,EXEGGUTOR,isAlolanForm,sExeggutorAlolaLevelUpLearnset,sExeggutorAlolaTeachableLearnset,,gMonFrontPic_ExeggutorAlola,gMonBackPic_ExeggutorAlola,gMonPalette_ExeggutorAlola,gMonShinyPalette_ExeggutorAlola,gMonIcon_ExeggutorAlola,
regional_form,Alola,ガラガラ,텅구리,SPECIES_MAROWAK_ALOLA,973,MAROWAK,"FIRE,GHOST",60,80,110,50,80,45,425,"CURSED_BODY,LIGHTNING_ROD,ROCK_HEAD",PERCENT_FEMALE(50),1,34,75,149,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,MONSTER,MAROWAK,isAlolanForm,sMarowakAlolaLevelUpLearnset,sMarowakAlolaTeachableLearnset,,gMonFrontPic_MarowakAlola,gMonBackPic_MarowakAlola,gMonPalette_MarowakAlola,gMonShinyPalette_MarowakAlola,gMonIcon_MarowakAlola,
regional_form,Galar,ニャース,나옹,SPECIES_MEOWTH_GALAR,974,MEOWTH,STEEL,50,65,55,40,40,40,290,"PICKUP,TOUGH_CLAWS,UNNERVE",PERCENT_FEMALE(50),0.4,7.5,255,58,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,FIELD,MEOWTH,isGalarianForm,sMeowthGalarLevelUpLearnset,sMeowthGalarTeachableLearnset,sMeowthGalarEggMoveLearnset,gMonFrontPic_MeowthGalar,gMonBackPic_MeowthGalar,gMonPalette_MeowthGalar,gMonShinyPalette_MeowthGalar,gMonIcon_MeowthGalar,"{EVO_LEVEL, 28, SPECIES_PERRSERKER}"
regional_form,Galar,ポニータ,포니타,SPECIES_PONYTA_GALAR,975,PONYTA,PSYCHIC,50,85,55,65,65,90,410,"RUN_AWAY,PASTEL_VEIL,ANTICIPATION",PERCENT_FEMALE(50),0.8,24,190,82,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,FIELD,PONYTA,isGalarianForm,sPonytaGalarLevelUpLearnset,sPonytaGalarTeachableLearnset,sPonytaGalarEggMoveLearnset,gMonFrontPic_PonytaGalar,gMonBackPic_PonytaGalar,gMonPalette_PonytaGalar,gMonShinyPalette_PonytaGalar,gMonIcon_PonytaGalar,"{EVO_LEVEL, 40, SPECIES_RAPIDASH_GALAR}"
regional_form,Galar,ギャロップ,날쌩마,SPECIES_RAPIDASH_GALAR,976,RAPIDASH,"PSYCHIC,FAIRY",65,100,70,80,80,105,500,"RUN_AWAY,PASTEL_VEIL,ANTICIPATION",PERCENT_FEMALE(50),1.7,80,60,175,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,FIELD,RAPIDASH,isGalarianForm,sRapidashGalarLevelUpLearnset,sRapidashGalarTeachableLearnset,,gMonFrontPic_RapidashGalar,gMonBackPic_RapidashGalar,gMonPalette_RapidashGalar,gMonShinyPalette_RapidashGalar,gMonIcon_RapidashGalar,
regional_form,Galar,ヤドン,야돈,SPECIES_SLOWPOKE_GALAR,977,SLOWPOKE,PSYCHIC,90,65,65,40,40,15,315,"GLUTTONY,OWN_TEMPO,REGENERATOR",PERCENT_FEMALE(50),1.2,36,190,63,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,"MONSTER,WATER_1",SLOWPOKE_GALAR,isGalarianForm,sSlowpokeGalarLevelUpLearnset,sSlowpokeGalarTeachableLearnset,sSlowpokeGalarEggMoveLearnset,gMonFrontPic_SlowpokeGalar,gMonBackPic_SlowpokeGalar,gMonPalette_SlowpokeGalar,gMonShinyPalette_SlowpokeGalar,gMonIcon_SlowpokeGalar,"{EVO_ITEM, ITEM_GALARICA_CUFF, SPECIES_SLOWBRO_GALAR} #if P_GEN_2_CROSS_EVOS ,{EVO_ITEM, ITEM_GALARICA_WREATH, SPECIES_SLOWKING_GALAR} #endif"
regional_form,Galar,ヤドラン,야도란,SPECIES_SLOWBRO_GALAR,978,SLOWBRO,"POISON,PSYCHIC",95,100,95,100,70,30,490,"QUICK_DRAW,OWN_TEMPO,REGENERATOR",PERCENT_FEMALE(50),1.6,70.5,75,172,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,"MONSTER,WATER_1",SLOWBRO,isGalarianForm,sSlowbroGalarLevelUpLearnset,sSlowbroGalarTeachableLearnset,,gMonFrontPic_SlowbroGalar,gMonBackPic_SlowbroGalar,gMonPalette_SlowbroGalar,gMonShinyPalette_SlowbroGalar,gMonIcon_SlowbroGalar,
regional_form,Galar,カモネギ,파오리,SPECIES_FARFETCHD_GALAR,979,FARFETCHD,FIGHTING,52,95,55,58,62,55,377,"STEADFAST,NONE,SCRAPPY",PERCENT_FEMALE(50),0.8,42,45,132,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,"FLYING,FIELD",FARFETCHD,isGalarianForm,sFarfetchdGalarLevelUpLearnset,sFarfetchdGalarTeachableLearnset,sFarfetchdGalarEggMoveLearnset,gMonFrontPic_FarfetchdGalar,gMonBackPic_FarfetchdGalar,gMonPalette_FarfetchdGalar,gMonShinyPalette_FarfetchdGalar,gMonIcon_FarfetchdGalar,"{EVO_BATTLE_END, 0, SPECIES_SIRFETCHD, CONDITIONS({IF_CRITICAL_HITS_GE, 3})}"
regional_form,Galar,マタドガス,또도가스,SPECIES_WEEZING_GALAR,980,WEEZING,"POISON,FAIRY",65,90,120,85,70,60,490,"LEVITATE,NEUTRALIZING_GAS,MISTY_SURGE",PERCENT_FEMALE(50),3,16,60,172,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,AMORPHOUS,WEEZING,isGalarianForm,sWeezingGalarLevelUpLearnset,sWeezingGalarTeachableLearnset,,gMonFrontPic_WeezingGalar,gMonBackPic_WeezingGalar,gMonPalette_WeezingGalar,gMonShinyPalette_WeezingGalar,gMonIcon_WeezingGalar,
regional_form,Galar,バリヤード,마임맨,SPECIES_MR_MIME_GALAR,981,MR_MIME,"ICE,PSYCHIC",50,65,65,90,90,100,460,"VITAL_SPIRIT,SCREEN_CLEANER,ICE_BODY",PERCENT_FEMALE(50),1.4,56.8,45,161,25,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,HUMAN_LIKE,MR_MIME,isGalarianForm,sMrMimeGalarLevelUpLearnset,sMrMimeGalarTeachableLearnset,sMrMimeGalarEggMoveLearnset,gMonFrontPic_MrMimeGalar,gMonBackPic_MrMimeGalar,gMonPalette_MrMimeGalar,gMonShinyPalette_MrMimeGalar,gMonIcon_MrMimeGalar,"{EVO_LEVEL, 42, SPECIES_MR_RIME}"
regional_form,Galar,フリーザー,프리져,SPECIES_ARTICUNO_GALAR,982,ARTICUNO,"PSYCHIC,FLYING",90,85,85,125,100,95,580,"COMPETITIVE,NONE,NONE",MON_GENDERLESS,1.7,50.9,3,290,120,35,GROWTH_SLOW,NO_EGGS_DISCOVERED,ARTICUNO,isGalarianForm,sArticunoGalarLevelUpLearnset,sArticunoGalarTeachableLearnset,,gMonFrontPic_ArticunoGalar,gMonBackPic_ArticunoGalar,gMonPalette_ArticunoGalar,gMonShinyPalette_ArticunoGalar,gMonIcon_ArticunoGalar,
regional_form,Galar,サンダー,썬더,SPECIES_ZAPDOS_GALAR,983,ZAPDOS,"FIGHTING,FLYING",90,125,90,85,90,100,580,"DEFIANT,NONE,NONE",MON_GENDERLESS,1.6,58.2,3,290,120,35,GROWTH_SLOW,NO_EGGS_DISCOVERED,ZAPDOS,isGalarianForm,sZapdosGalarLevelUpLearnset,sZapdosGalarTeachableLearnset,,gMonFrontPic_ZapdosGalar,gMonBackPic_ZapdosGalar,gMonPalette_ZapdosGalar,gMonShinyPalette_ZapdosGalar,gMonIcon_ZapdosGalar,
regional_form,Galar,ファイヤー,파이어,SPECIES_MOLTRES_GALAR,984,MOLTRES,"DARK,FLYING",90,85,90,100,125,90,580,"BERSERK,NONE,NONE",MON_GENDERLESS,2,66,3,290,120,35,GROWTH_SLOW,NO_EGGS_DISCOVERED,MOLTRES,isGalarianForm,sMoltresGalarLevelUpLearnset,sMoltresGalarTeachableLearnset,,gMonFrontPic_MoltresGalar,gMonBackPic_MoltresGalar,gMonPalette_MoltresGalar,gMonShinyPalette_MoltresGalar,gMonIcon_MoltresGalar,
regional_form,Galar,ヤドキング,야도킹,SPECIES_SLOWKING_GALAR,985,SLOWKING,"POISON,PSYCHIC",95,65,80,110,110,30,490,"CURIOUS_MEDICINE,OWN_TEMPO,REGENERATOR",PERCENT_FEMALE(50),1.8,79.5,70,172,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,"MONSTER,WATER_1",SLOWKING,isGalarianForm,sSlowkingGalarLevelUpLearnset,sSlowkingGalarTeachableLearnset,,gMonFrontPic_SlowkingGalar,gMonBackPic_SlowkingGalar,gMonPalette_SlowkingGalar,gMonShinyPalette_SlowkingGalar,gMonIcon_SlowkingGalar,
regional_form,Galar,サニーゴ,코산호,SPECIES_CORSOLA_GALAR,986,CORSOLA,GHOST,60,55,100,65,100,30,410,"WEAK_ARMOR,NONE,CURSED_BODY",PERCENT_FEMALE(75),0.6,0.5,60,144,20,STANDARD_FRIENDSHIP,GROWTH_FAST,"WATER_1,WATER_3",CORSOLA,isGalarianForm,sCorsolaGalarLevelUpLearnset,sCorsolaGalarTeachableLearnset,sCorsolaGalarEggMoveLearnset,gMonFrontPic_CorsolaGalar,gMonBackPic_CorsolaGalar,gMonPalette_CorsolaGalar,gMonShinyPalette_CorsolaGalar,gMonIcon_CorsolaGalar,"{EVO_LEVEL, 38, SPECIES_CURSOLA}"
regional_form,Galar,ジグザグマ,지그제구리,SPECIES_ZIGZAGOON_GALAR,987,ZIGZAGOON,"DARK,NORMAL",38,30,41,30,41,60,240,"PICKUP,GLUTTONY,QUICK_FEET",PERCENT_FEMALE(50),0.4,17.5,255,56,15,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,FIELD,ZIGZAGOON,isGalarianForm,sZigzagoonGalarLevelUpLearnset,sZigzagoonGalarTeachableLearnset,sZigzagoonGalarEggMoveLearnset,gMonFrontPic_ZigzagoonGalar,gMonBackPic_ZigzagoonGalar,gMonPalette_ZigzagoonGalar,gMonShinyPalette_ZigzagoonGalar,gMonIcon_ZigzagoonGalar,"{EVO_LEVEL, 20, SPECIES_LINOONE_GALAR}"
regional_form,Galar,マッスグマ,직구리,SPECIES_LINOONE_GALAR,988,LINOONE,"DARK,NORMAL",78,70,61,50,61,100,420,"PICKUP,GLUTTONY,QUICK_FEET",PERCENT_FEMALE(50),0.5,32.5,90,147,15,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,FIELD,LINOONE,isGalarianForm,sLinooneGalarLevelUpLearnset,sLinooneGalarTeachableLearnset,,gMonFrontPic_LinooneGalar,gMonBackPic_LinooneGalar,gMonPalette_LinooneGalar,gMonShinyPalette_LinooneGalar,gMonIcon_LinooneGalar,"{EVO_LEVEL, 35, SPECIES_OBSTAGOON, CONDITIONS({IF_TIME, TIME_NIGHT})}"
regional_form,Galar,ダルマッカ,달막화,SPECIES_DARUMAKA_GALAR,989,DARUMAKA,ICE,70,90,45,15,45,50,315,"HUSTLE,NONE,INNER_FOCUS",PERCENT_FEMALE(50),0.7,40,120,63,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_SLOW,FIELD,DARUMAKA,isGalarianForm,sDarumakaGalarLevelUpLearnset,sDarumakaGalarTeachableLearnset,sDarumakaGalarEggMoveLearnset,gMonFrontPic_DarumakaGalar,gMonBackPic_DarumakaGalar,gMonPalette_DarumakaGalar,gMonShinyPalette_DarumakaGalar,gMonIcon_DarumakaGalar,"{EVO_ITEM, ITEM_ICE_STONE, SPECIES_DARMANITAN_GALAR_STANDARD}"
regional_form,Galar,ヒヒダルマ,불비달마,SPECIES_DARMANITAN_GALAR_STANDARD,990,DARMANITAN,ICE,105,140,55,30,55,95,480,"GORILLA_TACTICS,NONE,ZEN_MODE",PERCENT_FEMALE(50),1.7,120,60,168,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_SLOW,FIELD,DARMANITAN,isGalarianForm,sDarmanitanGalarLevelUpLearnset,sDarmanitanGalarTeachableLearnset,,gMonFrontPic_DarmanitanGalarStandard,gMonBackPic_DarmanitanGalarStandard,gMonPalette_DarmanitanGalarStandard,gMonShinyPalette_DarmanitanGalarStandard,gMonIcon_DarmanitanGalarStandard,
regional_form,Galar,デスマス,데스마스,SPECIES_YAMASK_GALAR,991,YAMASK,"GROUND,GHOST",38,55,85,30,65,30,303,"WANDERING_SPIRIT,NONE,NONE",PERCENT_FEMALE(50),0.5,1.5,190,61,25,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,"MINERAL,AMORPHOUS",YAMASK,isGalarianForm,sYamaskGalarLevelUpLearnset,sYamaskGalarTeachableLearnset,sYamaskGalarEggMoveLearnset,gMonFrontPic_YamaskGalar,gMonBackPic_YamaskGalar,gMonPalette_YamaskGalar,gMonShinyPalette_YamaskGalar,gMonIcon_YamaskGalar,"{EVO_SCRIPT_TRIGGER, EVO_TRIGGER_TABLET_CURSE, SPECIES_RUNERIGUS, CONDITIONS({IF_CURRENT_DAMAGE_GE, 49})}"
regional_form,Galar,マッギョ,메더,SPECIES_STUNFISK_GALAR,992,STUNFISK,"GROUND,STEEL",109,81,99,66,84,32,471,"MIMICRY,NONE,NONE",PERCENT_FEMALE(50),0.7,20.5,75,165,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,"WATER_1,AMORPHOUS",STUNFISK,isGalarianForm,sStunfiskGalarLevelUpLearnset,sStunfiskGalarTeachableLearnset,sStunfiskGalarEggMoveLearnset,gMonFrontPic_StunfiskGalar,gMonBackPic_StunfiskGalar,gMonPalette_StunfiskGalar,gMonShinyPalette_StunfiskGalar,gMonIcon_StunfiskGalar,
regional_form,Hisui,ガーディ,가디,SPECIES_GROWLITHE_HISUI,993,GROWLITHE,"FIRE,ROCK",60,75,45,65,50,55,350,"INTIMIDATE,FLASH_FIRE,ROCK_HEAD",PERCENT_FEMALE(25),0.8,22.7,190,70,20,STANDARD_FRIENDSHIP,GROWTH_SLOW,FIELD,GROWLITHE,isHisuianForm,sGrowlitheHisuiLevelUpLearnset,sGrowlitheHisuiTeachableLearnset,sGrowlitheHisuiEggMoveLearnset,gMonFrontPic_GrowlitheHisui,gMonBackPic_GrowlitheHisui,gMonPalette_GrowlitheHisui,gMonShinyPalette_GrowlitheHisui,gMonIcon_GrowlitheHisui,"{EVO_ITEM, ITEM_FIRE_STONE, SPECIES_ARCANINE_HISUI}"
regional_form,Hisui,ウインディ,윈디,SPECIES_ARCANINE_HISUI,994,ARCANINE,"FIRE,ROCK",95,115,80,95,80,90,555,"INTIMIDATE,FLASH_FIRE,ROCK_HEAD",PERCENT_FEMALE(25),2,168,75,194,20,STANDARD_FRIENDSHIP,GROWTH_SLOW,FIELD,ARCANINE,isHisuianForm,sArcanineHisuiLevelUpLearnset,sArcanineHisuiTeachableLearnset,,gMonFrontPic_ArcanineHisui,gMonBackPic_ArcanineHisui,gMonPalette_ArcanineHisui,gMonShinyPalette_ArcanineHisui,gMonIcon_ArcanineHisui,
regional_form,Hisui,ビリリダマ,찌리리공,SPECIES_VOLTORB_HISUI,995,VOLTORB,"ELECTRIC,GRASS",40,30,50,55,55,100,330,"SOUNDPROOF,STATIC,AFTERMATH",MON_GENDERLESS,0.5,13,190,66,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,MINERAL,VOLTORB,isHisuianForm,sVoltorbHisuiLevelUpLearnset,sVoltorbHisuiTeachableLearnset,,gMonFrontPic_VoltorbHisui,gMonBackPic_VoltorbHisui,gMonPalette_VoltorbHisui,gMonShinyPalette_VoltorbHisui,gMonIcon_VoltorbHisui,"{EVO_ITEM, ITEM_LEAF_STONE, SPECIES_ELECTRODE_HISUI}"
